
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 기간 : 1991~2020년 01월 01일~01월 31일
지점명,일시,최저기온(°C),평균기온(°C),최고기온(°C),강수량(mm),습도(%),일조시간(hr)
서울,01-01,      -5.4,      -1.9,       2.1,       0.5,      58.2,       5.2
서울,01-02,      -5.5,      -1.9,       2.1,       0.4,      57.1,       5.4
서울,01-03,      -5.4,      -1.9,       2.2,       0.5,      56.7,       5.3
서울,01-04,      -5.3,      -1.8,       2.2,       0.6,      56.8,       5.3
서울,01-05,      -5.5,      -1.9,       2.2,       1.0,      57.0,       5.2
서울,01-06,      -5.5,      -2.0,       2.1,       1.1,      57.3,       5.1
서울,01-07,      -5.4,      -1.9,       2.0,       1.0,      58.2,       5.1
서울,01-08,      -5.4,      -2.0,       2.0,       0.9,      58.2,       5.2
서울,01-09,      -5.5,      -2.1,       1.8,       0.7,      57.5,       5.5
서울,01-10,      -5.7,      -2.2,       1.7,       0.3,      56.6,       5.6
서울,01-11,      -5.7,      -2.3,       1.6,       0.4,      56.3,       5.7
서울,01-12,      -5.7,      -2.3,       1.6,       0.4,      55.7,       5.6
서울,01-13,      -5.7,      -2.2,       1.7,       0.6,      55.6,       5.5
서울,01-14,      -5.6,      -2.1,       1.9,       0.6,      56.4,       5.3
서울,01-15,      -5.3,      -1.9,       2.1,       0.6,      57.3,       5.2
서울,01-16,      -5.3,      -1.8,       2.2,       0.5,      57.2,       5.2
서울,01-17,      -5.2,      -1.6,       2.4,       0.5,      57.3,       5.4
서울,01-18,      -5.0,      -1.5,       2.5,       0.5,      57.5,       5.3
서울,01-19,      -5.2,      -1.6,       2.3,       0.6,      56.9,       5.3
서울,01-20,      -5.3,      -1.8,       2.2,       0.6,      56.6,       5.3
서울,01-21,      -5.5,      -2.0,       2.0,       0.6,      56.1,       5.5
서울,01-22,      -5.8,      -2.3,       1.7,       0.7,      56.3,       5.6
서울,01-23,      -6.1,      -2.5,       1.4,       0.5,      56.1,       5.7
서울,01-24,      -6.1,      -2.5,       1.5,       0.3,      56.1,       5.9
서울,01-25,      -6.1,      -2.5,       1.6,       0.3,      55.4,       6.2
서울,01-26,      -6.0,      -2.3,       1.9,       0.3,      54.4,       6.1
서울,01-27,      -5.7,      -1.9,       2.2,       0.3,      54.0,       5.8
서울,01-28,      -5.5,      -1.7,       2.5,       0.3,      53.8,       6.0
서울,01-29,      -5.3,      -1.6,       2.6,       0.3,      53.4,       5.7
서울,01-30,      -5.3,      -1.6,       2.6,       0.6,      53.0,       5.9
서울,01-31,      -5.4,      -1.7,       2.5,       0.6,      53.9,       6.0

