
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 01월 01일~01월 31일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,01-01,       0.9,       5.1,      -3.1,       0.3,      44.8,       6.4,,,    1018.1,    1020.4,       2.8
철원,95,01-01,      -5.4,       0.7,     -11.3,       0.6,      68.6,       5.2,,,    1004.3,    1024.2,       1.3
동두천,98,01-01,      -4.1,       2.0,      -9.2,       0.4,      62.3,       5.7,,,    1010.3,    1024.6,       1.4
파주,99,01-01,      -5.0,       1.2,     -11.0,       0.2,      67.1,       6.1,,,    1021.3,    1025.3,       1.3
대관령,100,01-01,      -6.4,      -1.4,     -11.6,       0.6,      64.8,       6.6,,,     922.7,    1022.5,       5.6
춘천,101,01-01,      -4.0,       1.7,      -9.0,       0.5,      69.6,       5.1,,,    1014.2,    1024.0,       1.1
백령도,102,01-01,      -0.9,       1.5,      -3.0,       0.7,      65.0,       3.5,       5.8,,    1007.5,    1025.0,       5.0
강릉,105,01-01,       1.7,       6.2,      -2.1,       0.4,      42.1,       6.5,,,    1017.4,    1020.7,       3.7
동해,106,01-01,       1.9,       6.4,      -2.1,       0.6,      42.0,       6.4,,,    1015.6,    1020.3,       3.0
서울,108,01-01,      -1.9,       2.1,      -5.4,       0.5,      58.2,       5.2,       3.7,       1.2,    1013.3,    1024.3,       2.3
인천,112,01-01,      -1.1,       2.6,      -4.4,       0.4,      62.3,       5.8,       3.7,       1.5,    1015.2,    1024.0,       3.2
원주,114,01-01,      -3.0,       2.4,      -8.0,       0.4,      65.5,       5.2,,,    1005.0,    1024.1,       1.0
울릉도,115,01-01,       2.6,       5.4,       0.4,       3.8,      67.0,       3.6,       6.8,       1.4,     992.3,    1019.8,       3.5
수원,119,01-01,      -1.9,       3.0,      -6.4,       0.5,      64.4,       5.3,       3.7,       1.2,    1020.0,    1024.6,       1.6
영월,121,01-01,      -3.6,       2.5,      -9.3,       0.3,      63.7,       5.9,,,     993.4,    1023.8,       1.3
충주,127,01-01,      -3.2,       2.5,      -8.4,       0.3,      67.9,       5.1,,,    1012.1,    1024.6,       1.4
서산,129,01-01,      -0.9,       4.0,      -5.6,       0.6,      72.4,       4.7,,,    1021.3,    1024.5,       2.2
울진,130,01-01,       2.1,       7.4,      -2.6,       0.5,      44.5,       7.1,,,    1014.4,    1020.7,       3.7
청주,131,01-01,      -1.3,       3.7,      -5.8,       0.4,      64.7,       5.2,       4.1,       1.0,    1017.2,    1024.6,       1.3
대전,133,01-01,      -0.8,       4.5,      -5.5,       0.4,      67.1,       5.3,       4.1,       1.0,    1015.7,    1024.6,       1.5
추풍령,135,01-01,      -1.4,       3.5,      -6.0,       0.3,      60.7,       5.6,,,     993.0,    1023.9,       3.7
안동,136,01-01,      -1.7,       4.3,      -7.2,       0.1,      58.7,       6.6,       2.9,       1.7,    1005.6,    1023.5,       1.9
상주,137,01-01,      -1.1,       3.7,      -5.4,       0.3,      55.2,       6.0,,,    1011.9,    1024.3,       2.6
포항,138,01-01,       2.6,       7.3,      -1.3,       0.3,      45.7,       6.7,       2.6,       2.6,    1021.7,    1022.1,       2.9
군산,140,01-01,       0.3,       4.7,      -3.5,       0.7,      72.7,       5.0,,,    1021.3,    1024.7,       2.8
울산,152,01-01,       2.7,       8.2,      -1.8,       0.2,      45.9,       6.9,       2.6,,    1016.8,    1021.9,       2.3
창원,155,01-01,       2.9,       7.7,      -1.2,       0.1,      47.2,       6.5,       2.3,,    1019.6,    1022.5,       2.0
광주,156,01-01,       1.2,       5.9,      -2.8,       0.8,      68.3,       5.2,       4.6,,    1015.3,    1024.5,       1.7
부산,159,01-01,       4.0,       8.9,       0.0,       0.2,      44.0,       7.1,       2.4,       2.3,    1013.2,    1021.9,       3.6
통영,162,01-01,       3.6,       8.7,      -0.7,       0.1,      52.5,       6.7,,,    1018.9,    1023.0,       2.5
목포,165,01-01,       2.4,       6.6,      -1.0,       0.6,      70.6,       4.8,       5.3,       1.3,    1019.2,    1024.6,       4.1
여수,168,01-01,       3.3,       7.3,      -0.1,       0.1,      52.4,       6.7,       2.8,       2.5,    1014.7,    1023.2,       4.8
흑산도,169,01-01,       4.2,       6.6,       2.1,       0.5,      68.1,       3.4,       6.1,,    1014.7,    1024.4,       6.8
완도,170,01-01,       3.2,       7.2,      -0.1,       0.3,      66.3,       4.9,,,    1020.2,    1024.0,       4.1
고창,172,01-01,       0.0,       4.8,      -4.5,       1.0,      79.8,       4.9,,,    1019.8,    1026.9,       2.5
