,일자,호수위(EL.m),해수위(EL.m),우량(mm),평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),개문시작시각,폐문종료시각,방류량(천톤)
0,2022-09-15,-1.6,-1.97,0.0,23.7,16.8,27.7,1.2,11:50,15:01,688.268
1,2022-09-14,-2.59,-3.24,0.0,23.0,19.2,27.9,1.1,11:09,14:46,879.969
2,2022-09-13,-3.48,-4.17,0.0,22.2,19.0,26.3,0.4,10:36,14:31,1226.07
3,2022-09-08,-2.48,0.99,0.0,19.9,12.4,28.5,0.5,07:47,10:32,844.929
4,2022-09-08,-2.48,0.99,0.0,19.9,12.4,28.5,0.5,19:35,23:13,1094.0
5,2022-09-07,-1.91,2.0,0.0,19.4,13.9,27.9,0.4,18:20,21:37,1033.42
6,2022-09-06,-2.21,1.69,37.0,19.3,15.0,26.1,1.3,16:33,19:21,717.709
7,2022-08-31,-2.71,-3.34,0.0,20.2,16.9,23.9,0.6,11:14,14:40,879.969
8,2022-08-30,-3.28,-3.86,20.5,18.7,17.2,19.8,0.8,10:40,14:23,1049.37
9,2022-08-17,-1.32,-1.51,0.0,23.7,18.9,29.8,0.5,12:22,15:45,917.295
10,2022-08-16,-2.15,-2.75,0.0,24.8,19.8,29.2,0.8,11:49,15:32,1094.0
11,2022-08-15,-3.1,-3.77,1.5,27.3,24.6,29.8,2.3,11:17,14:53,1182.75
12,2022-08-15,-3.1,-3.77,1.5,27.3,24.6,29.8,2.3,23:13,03:12,1138.35
13,2022-08-14,-3.82,-4.4,8.0,26.4,22.6,31.4,0.6,22:10,02:43,1571.94
14,2022-08-12,-3.53,-2.75,0.0,24.6,20.2,30.8,0.6,09:05,13:07,1507.89
15,2022-08-12,-3.53,-2.75,0.0,24.6,20.2,30.8,0.6,20:43,01:25,1771.26
16,2022-08-11,-3.08,-0.74,45.5,23.5,22.4,26.3,0.5,08:20,12:17,1570.25
