 format: day,hour,forecast,value  location:53_120 Start : 20170701 
 1,0200,+4,218.000000 
 1,0200,+7,207.000000 
 1,0200,+10,134.000000 
 1,0200,+13,125.000000 
 1,0200,+16,162.000000 
 1,0200,+19,196.000000 
 1,0200,+22,164.000000 
 1,0200,+25,136.000000 
 1,0200,+28,190.000000 
 1,0200,+31,218.000000 
 1,0200,+34,221.000000 
 1,0200,+37,153.000000 
 1,0200,+40,172.000000 
 1,0200,+43,201.000000 
 1,0200,+46,205.000000 
 1,0200,+49,276.000000 
 1,0200,+52,221.000000 
 1,0200,+55,196.000000 
 1,0200,+58,198.000000 
 1,0200,+61,197.000000 
 1,0500,+4,207.000000 
 1,0500,+7,134.000000 
 1,0500,+10,125.000000 
 1,0500,+13,162.000000 
 1,0500,+16,196.000000 
 1,0500,+19,164.000000 
 1,0500,+22,136.000000 
 1,0500,+25,190.000000 
 1,0500,+28,218.000000 
 1,0500,+31,221.000000 
 1,0500,+34,153.000000 
 1,0500,+37,172.000000 
 1,0500,+40,201.000000 
 1,0500,+43,205.000000 
 1,0500,+46,276.000000 
 1,0500,+49,221.000000 
 1,0500,+52,196.000000 
 1,0500,+55,198.000000 
 1,0500,+58,197.000000 
 1,0800,+4,164.000000 
 1,0800,+7,109.000000 
 1,0800,+10,196.000000 
 1,0800,+13,189.000000 
 1,0800,+16,197.000000 
 1,0800,+19,180.000000 
 1,0800,+22,195.000000 
 1,0800,+25,201.000000 
 1,0800,+28,206.000000 
 1,0800,+31,219.000000 
 1,0800,+34,205.000000 
 1,0800,+37,201.000000 
 1,0800,+40,202.000000 
 1,0800,+43,212.000000 
 1,0800,+46,202.000000 
 1,0800,+49,228.000000 
 1,0800,+52,220.000000 
 1,0800,+55,205.000000 
 1,1100,+4,109.000000 
 1,1100,+7,196.000000 
 1,1100,+10,189.000000 
 1,1100,+13,197.000000 
 1,1100,+16,180.000000 
 1,1100,+19,195.000000 
 1,1100,+22,201.000000 
 1,1100,+25,206.000000 
 1,1100,+28,219.000000 
 1,1100,+31,205.000000 
 1,1100,+34,201.000000 
 1,1100,+37,202.000000 
 1,1100,+40,212.000000 
 1,1100,+43,202.000000 
 1,1100,+46,228.000000 
 1,1100,+49,220.000000 
 1,1100,+52,205.000000 
 1,1400,+4,196.000000 
 1,1400,+7,189.000000 
 1,1400,+10,197.000000 
 1,1400,+13,180.000000 
 1,1400,+16,195.000000 
 1,1400,+19,201.000000 
 1,1400,+22,206.000000 
 1,1400,+25,219.000000 
 1,1400,+28,205.000000 
 1,1400,+31,201.000000 
 1,1400,+34,202.000000 
 1,1400,+37,212.000000 
 1,1400,+40,202.000000 
 1,1400,+43,228.000000 
 1,1400,+46,220.000000 
 1,1400,+49,205.000000 
 1,1700,+4,189.000000 
 1,1700,+7,197.000000 
 1,1700,+10,180.000000 
 1,1700,+13,195.000000 
 1,1700,+16,201.000000 
 1,1700,+19,206.000000 
 1,1700,+22,219.000000 
 1,1700,+25,205.000000 
 1,1700,+28,201.000000 
 1,1700,+31,202.000000 
 1,1700,+34,212.000000 
 1,1700,+37,202.000000 
 1,1700,+40,228.000000 
 1,1700,+43,220.000000 
 1,1700,+46,205.000000 
 1,2000,+4,122.000000 
 1,2000,+7,83.000000 
 1,2000,+10,198.000000 
 1,2000,+13,204.000000 
 1,2000,+16,207.000000 
 1,2000,+19,209.000000 
 1,2000,+22,174.000000 
 1,2000,+25,165.000000 
 1,2000,+28,220.000000 
 1,2000,+31,205.000000 
 1,2000,+34,204.000000 
 1,2000,+37,197.000000 
 1,2000,+40,199.000000 
 1,2000,+43,212.000000 
 1,2000,+46,202.000000 
 1,2000,+49,198.000000 
 1,2000,+52,119.000000 
 1,2000,+55,148.000000 
 1,2000,+58,204.000000 
 1,2000,+61,197.000000 
 1,2000,+64,207.000000 
 1,2000,+67,193.000000 
 1,2300,+4,83.000000 
 1,2300,+7,198.000000 
 1,2300,+10,204.000000 
 1,2300,+13,207.000000 
 1,2300,+16,209.000000 
 1,2300,+19,174.000000 
 1,2300,+22,165.000000 
 1,2300,+25,220.000000 
 1,2300,+28,205.000000 
 1,2300,+31,204.000000 
 1,2300,+34,197.000000 
 1,2300,+37,199.000000 
 1,2300,+40,212.000000 
 1,2300,+43,202.000000 
 1,2300,+46,198.000000 
 1,2300,+49,119.000000 
 1,2300,+52,148.000000 
 1,2300,+55,204.000000 
 1,2300,+58,197.000000 
 1,2300,+61,207.000000 
 1,2300,+64,193.000000 
 2,0200,+4,198.000000 
 2,0200,+7,204.000000 
 2,0200,+10,207.000000 
 2,0200,+13,209.000000 
 2,0200,+16,174.000000 
 2,0200,+19,165.000000 
 2,0200,+22,220.000000 
 2,0200,+25,205.000000 
 2,0200,+28,204.000000 
 2,0200,+31,197.000000 
 2,0200,+34,199.000000 
 2,0200,+37,212.000000 
 2,0200,+40,202.000000 
 2,0200,+43,198.000000 
 2,0200,+46,119.000000 
 2,0200,+49,148.000000 
 2,0200,+52,204.000000 
 2,0200,+55,197.000000 
 2,0200,+58,207.000000 
 2,0200,+61,193.000000 
 2,0500,+4,204.000000 
 2,0500,+7,207.000000 
 2,0500,+10,209.000000 
 2,0500,+13,174.000000 
 2,0500,+16,165.000000 
 2,0500,+19,220.000000 
 2,0500,+22,205.000000 
 2,0500,+25,204.000000 
 2,0500,+28,197.000000 
 2,0500,+31,199.000000 
 2,0500,+34,212.000000 
 2,0500,+37,202.000000 
 2,0500,+40,198.000000 
 2,0500,+43,119.000000 
 2,0500,+46,148.000000 
 2,0500,+49,204.000000 
 2,0500,+52,197.000000 
 2,0500,+55,207.000000 
 2,0500,+58,193.000000 
 2,0800,+4,210.000000 
 2,0800,+7,233.000000 
 2,0800,+10,237.000000 
 2,0800,+13,228.000000 
 2,0800,+16,246.000000 
 2,0800,+19,217.000000 
 2,0800,+22,209.000000 
 2,0800,+25,207.000000 
 2,0800,+28,200.000000 
 2,0800,+31,207.000000 
 2,0800,+34,209.000000 
 2,0800,+37,207.000000 
 2,0800,+40,180.000000 
 2,0800,+43,205.000000 
 2,0800,+46,217.000000 
 2,0800,+49,191.000000 
 2,0800,+52,112.000000 
 2,0800,+55,53.000000 
 2,1100,+4,233.000000 
 2,1100,+7,237.000000 
 2,1100,+10,228.000000 
 2,1100,+13,246.000000 
 2,1100,+16,217.000000 
 2,1100,+19,209.000000 
 2,1100,+22,207.000000 
 2,1100,+25,200.000000 
 2,1100,+28,207.000000 
 2,1100,+31,209.000000 
 2,1100,+34,207.000000 
 2,1100,+37,180.000000 
 2,1100,+40,205.000000 
 2,1100,+43,217.000000 
 2,1100,+46,191.000000 
 2,1100,+49,112.000000 
 2,1100,+52,53.000000 
 2,1400,+4,237.000000 
 2,1400,+7,228.000000 
 2,1400,+10,246.000000 
 2,1400,+13,217.000000 
 2,1400,+16,209.000000 
 2,1400,+19,207.000000 
 2,1400,+22,200.000000 
 2,1400,+25,207.000000 
 2,1400,+28,209.000000 
 2,1400,+31,207.000000 
 2,1400,+34,180.000000 
 2,1400,+37,205.000000 
 2,1400,+40,217.000000 
 2,1400,+43,191.000000 
 2,1400,+46,112.000000 
 2,1400,+49,53.000000 
 2,1700,+4,228.000000 
 2,1700,+7,246.000000 
 2,1700,+10,217.000000 
 2,1700,+13,209.000000 
 2,1700,+16,207.000000 
 2,1700,+19,200.000000 
