
강수일수
지점/지역명 : 서울경기

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,5.9,5.5,6.6,7.9,8.4,9.3,15.2,13.5,8.4,5.9,8.3,7.5,102.4
최근 10년,5.7,5.9,6.3,8.4,8.6,9.5,14.8,13.0,7.4,6.2,9.0,8.5,103.4
최근  5년,5.7,5.5,7.5,7.5,9.8,10.8,12.7,15.0,9.0,6.3,6.7,7.7,104.3
2013,6.2,7.7,7.8,12.3,8.7,8.7,24.3,10.2,8.7,3.7,12.0,7.3,117.5,1
2014,4.7,3.8,5.5,5.7,8.3,8.2,11.8,15.0,6.0,5.3,8.8,11.0,94.2,10
2015,7.0,5.7,3.7,11.5,5.8,10.3,13.8,9.2,4.2,6.8,15.8,8.5,102.3,4
2016,3.3,8.7,2.8,9.3,8.8,6.3,14.5,6.2,5.8,9.3,11.2,9.8,96.2,8
2017,7.0,5.7,5.0,7.7,5.7,7.8,20.0,14.7,4.5,5.5,8.8,9.7,102.0,5
2018,6.8,5.2,9.2,10.0,11.7,8.8,8.2,12.0,10.8,8.0,5.3,4.7,100.7,7
2019,1.3,4.0,6.7,9.2,3.2,10.0,15.3,10.7,10.2,5.3,7.2,11.7,94.7,9
2020,5.5,9.7,4.7,3.5,13.2,11.3,17.2,19.5,10.0,1.8,6.8,5.2,108.3,3
2021,8.5,5.5,8.2,8.5,16.2,11.5,9.7,14.0,8.2,11.0,7.7,7.5,116.3,2
2022,6.5,3.3,9.0,6.3,4.7,12.2,13.3,19.0,5.8,5.5,6.5,9.3,101.5,6
2023,7.2,2.0,3.0,9.8,7.7,10.7,15.3,0.0,0.0,0.0,0.0,0.0,55.7,11


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
평년,22.8,38.0,22.6,18.7
최근 10년,23.3,37.4,22.7,18.7
최근  5년,24.8,38.5,22.0,16.5
2013,28.8,43.2,24.3,15.8
2014,19.5,35.0,20.2,23.7
2015,21.0,33.3,26.8,20.5
2016,21.0,27.0,26.3,22.5
2017,18.3,42.5,18.8,21.7
2018,30.8,29.0,24.2,10.0
2019,19.0,36.0,22.7,26.8
2020,21.3,48.0,18.7,19.2
2021,32.8,35.2,26.8,17.3
2022,20.0,44.5,17.8,18.5
2023,20.5,26.0,0.0,0.0


강수일수 관측값
연도,날짜,지점
2013,0101,인천
2013,0101,수원
2013,0101,양평
2013,0101,강화
2013,0101,서울
2013,0101,이천
2013,0102,이천
2013,0112,인천
2013,0112,수원
2013,0112,강화
2013,0112,서울
2013,0116,서울
2013,0116,인천
2013,0116,수원
2013,0121,강화
2013,0121,양평
2013,0121,인천
2013,0121,이천
2013,0121,서울
2013,0121,수원
2013,0122,이천
2013,0122,서울
2013,0122,수원
2013,0122,강화
2013,0122,인천
2013,0122,양평
2013,0123,이천
2013,0123,강화
2013,0123,수원
2013,0123,서울
2013,0123,양평
2013,0123,인천
2013,0124,강화
2013,0124,수원
2013,0124,이천
2013,0124,양평
2013,0124,서울
2013,0201,서울
2013,0201,강화
2013,0201,수원
2013,0201,양평
2013,0201,인천
2013,0201,이천
2013,0203,서울
2013,0203,양평
2013,0203,이천
2013,0203,인천
2013,0203,수원
2013,0203,강화
2013,0204,이천
2013,0204,서울
2013,0204,강화
2013,0204,양평
2013,0204,인천
2013,0204,수원
2013,0205,강화
2013,0205,양평
2013,0205,이천
2013,0205,서울
2013,0205,인천
2013,0205,수원
2013,0206,양평
2013,0206,수원
2013,0206,강화
2013,0206,이천
2013,0206,서울
2013,0206,인천
2013,0207,수원
2013,0210,수원
2013,0210,인천
2013,0210,강화
2013,0210,서울
2013,0217,강화
2013,0222,서울
2013,0222,양평
2013,0222,강화
2013,0222,수원
2013,0222,인천
2013,0222,이천
2013,0226,강화
2013,0228,인천
2013,0228,강화
2013,0228,서울
2013,0301,양평
2013,0301,강화
2013,0301,수원
2013,0301,이천
2013,0301,인천
2013,0301,서울
2013,0307,수원
2013,0307,강화
2013,0307,이천
2013,0307,양평
2013,0307,서울
2013,0312,수원
2013,0312,강화
2013,0312,인천
2013,0312,이천
2013,0312,서울
2013,0312,양평
2013,0313,강화
2013,0313,양평
2013,0313,이천
2013,0313,수원
2013,0313,서울
2013,0313,인천
2013,0317,인천
2013,0317,양평
2013,0317,강화
2013,0317,서울
2013,0317,수원
2013,0317,이천
2013,0318,수원
2013,0318,강화
2013,0318,이천
2013,0318,인천
2013,0318,양평
2013,0318,서울
2013,0320,양평
2013,0320,서울
2013,0320,이천
2013,0320,수원
2013,0320,강화
2013,0330,양평
2013,0330,서울
2013,0330,이천
2013,0330,인천
2013,0330,수원
2013,0331,양평
2013,0331,이천
2013,0401,인천
2013,0401,서울
2013,0401,강화
2013,0402,인천
2013,0402,수원
2013,0402,양평
2013,0402,이천
2013,0402,서울
2013,0402,강화
2013,0406,이천
2013,0406,양평
2013,0406,강화
2013,0406,수원
2013,0406,인천
2013,0406,서울
2013,0407,서울
2013,0407,양평
2013,0407,인천
2013,0407,수원
2013,0407,강화
2013,0408,이천
2013,0408,인천
2013,0408,수원
2013,0408,서울
2013,0408,강화
2013,0408,양평
2013,0409,서울
2013,0409,이천
2013,0409,양평
2013,0409,강화
2013,0410,강화
2013,0410,서울
2013,0410,양평
2013,0411,양평
2013,0411,서울
2013,0411,강화
2013,0414,이천
2013,0414,서울
2013,0414,인천
2013,0414,수원
2013,0414,강화
2013,0414,양평
2013,0420,서울
2013,0420,양평
2013,0420,인천
2013,0420,이천
2013,0420,수원
2013,0420,강화
2013,0423,수원
2013,0423,인천
2013,0423,양평
2013,0423,강화
2013,0423,서울
2013,0423,이천
2013,0424,서울
2013,0424,이천
2013,0424,강화
2013,0424,인천
2013,0424,수원
2013,0424,양평
2013,0425,수원
2013,0425,이천
2013,0425,강화
2013,0425,인천
2013,0425,서울
2013,0425,양평
2013,0426,서울
2013,0426,양평
2013,0429,서울
2013,0429,수원
2013,0429,이천
2013,0429,강화
2013,0429,양평
2013,0429,인천
2013,0501,서울
2013,0502,서울
2013,0502,양평
2013,0503,양평
2013,0503,이천
2013,0509,수원
2013,0509,인천
2013,0509,강화
2013,0509,서울
2013,0509,양평
2013,0509,이천
2013,0510,양평
2013,0510,강화
2013,0510,수원
2013,0510,인천
2013,0510,이천
2013,0510,서울
2013,0511,강화
2013,0512,서울
2013,0512,강화
2013,0512,인천
2013,0512,양평
2013,0518,수원
2013,0518,서울
2013,0518,강화
2013,0518,인천
2013,0518,이천
2013,0518,양평
2013,0519,인천
2013,0519,서울
2013,0519,이천
2013,0519,양평
2013,0519,강화
2013,0519,수원
2013,0527,양평
2013,0527,인천
2013,0527,수원
2013,0527,강화
2013,0527,이천
2013,0527,서울
2013,0528,이천
2013,0528,수원
2013,0528,양평
2013,0528,강화
2013,0528,서울
2013,0528,인천
2013,0529,이천
2013,0529,서울
2013,0529,양평
2013,0529,수원
2013,0529,인천
2013,0529,강화
2013,0604,인천
2013,0604,강화
2013,0604,서울
2013,0611,인천
2013,0611,양평
2013,0611,강화
2013,0611,수원
2013,0611,서울
2013,0611,이천
2013,0612,수원
2013,0612,인천
2013,0612,이천
2013,0612,강화
2013,0612,서울
2013,0612,양평
2013,0615,수원
2013,0617,인천
2013,0617,서울
2013,0617,강화
2013,0618,양평
2013,0618,이천
2013,0618,서울
2013,0618,강화
2013,0618,인천
2013,0618,수원
2013,0619,양평
2013,0619,강화
2013,0619,서울
2013,0619,수원
2013,0619,이천
2013,0621,양평
2013,0623,서울
2013,0623,강화
2013,0623,인천
2013,0623,수원
2013,0623,양평
2013,0623,이천
2013,0625,수원
2013,0625,이천
2013,0625,양평
2013,0626,양평
2013,0626,수원
2013,0626,이천
2013,0627,양평
2013,0627,이천
2013,0628,인천
2013,0628,수원
2013,0628,강화
2013,0628,양평
2013,0628,이천
2013,0628,서울
2013,0630,서울
2013,0702,강화
2013,0702,양평
2013,0702,수원
2013,0702,이천
2013,0702,인천
2013,0702,서울
2013,0704,양평
2013,0704,서울
2013,0704,수원
2013,0704,이천
2013,0704,강화
2013,0704,인천
2013,0705,이천
2013,0705,서울
2013,0705,수원
2013,0705,양평
2013,0707,서울
2013,0707,인천
2013,0707,이천
2013,0707,강화
2013,0707,양평
2013,0707,수원
2013,0708,수원
2013,0708,강화
2013,0708,양평
2013,0708,이천
2013,0708,서울
2013,0708,인천
2013,0709,강화
2013,0709,인천
2013,0709,양평
2013,0709,이천
2013,0709,수원
2013,0709,서울
2013,0710,수원
2013,0710,이천
2013,0710,인천
2013,0710,강화
2013,0710,서울
2013,0710,양평
2013,0711,인천
2013,0711,서울
2013,0711,이천
2013,0711,양평
2013,0711,강화
2013,0711,수원
2013,0712,서울
2013,0712,양평
2013,0712,이천
2013,0712,수원
2013,0712,강화
2013,0712,인천
2013,0713,인천
2013,0713,양평
2013,0713,강화
2013,0713,이천
2013,0713,수원
2013,0713,서울
2013,0714,양평
2013,0714,이천
2013,0714,서울
2013,0714,강화
2013,0714,수원
2013,0714,인천
2013,0715,수원
2013,0715,서울
2013,0715,이천
2013,0715,양평
2013,0715,인천
2013,0715,강화
2013,0716,이천
2013,0716,서울
2013,0716,수원
2013,0716,인천
2013,0716,강화
2013,0716,양평
2013,0717,서울
2013,0717,이천
2013,0717,수원
2013,0717,강화
2013,0717,양평
2013,0717,인천
2013,0718,강화
2013,0718,수원
2013,0718,인천
2013,0718,서울
2013,0718,이천
2013,0718,양평
2013,0720,수원
2013,0720,인천
2013,0720,강화
2013,0720,이천
2013,0720,서울
2013,0721,강화
2013,0721,이천
2013,0721,양평
2013,0721,서울
2013,0721,수원
2013,0722,이천
2013,0722,양평
2013,0722,강화
2013,0722,수원
2013,0722,인천
2013,0722,서울
2013,0723,강화
2013,0723,인천
2013,0723,수원
2013,0723,양평
2013,0723,이천
2013,0723,서울
2013,0724,강화
2013,0724,수원
2013,0724,양평
2013,0724,이천
2013,0724,서울
2013,0724,인천
2013,0727,양평
2013,0727,이천
2013,0727,서울
2013,0727,인천
2013,0727,수원
2013,0727,강화
2013,0728,강화
2013,0728,서울
2013,0728,인천
2013,0728,이천
2013,0728,수원
2013,0728,양평
2013,0729,수원
2013,0729,서울
2013,0729,양평
2013,0729,이천
2013,0729,인천
2013,0729,강화
2013,0730,양평
2013,0730,수원
2013,0730,서울
2013,0730,강화
2013,0730,이천
2013,0730,인천
2013,0731,이천
2013,0731,수원
2013,0731,양평
2013,0731,강화
2013,0731,인천
2013,0731,서울
2013,0802,이천
2013,0802,양평
2013,0802,강화
2013,0802,서울
2013,0802,인천
2013,0802,수원
2013,0803,강화
2013,0803,양평
2013,0803,서울
2013,0803,이천
2013,0803,수원
2013,0804,양평
2013,0804,이천
2013,0804,서울
2013,0804,수원
2013,0804,강화
2013,0805,이천
2013,0805,양평
2013,0805,수원
2013,0805,강화
2013,0805,인천
2013,0805,서울
2013,0806,이천
2013,0806,서울
2013,0806,수원
2013,0806,양평
2013,0806,인천
2013,0806,강화
2013,0809,양평
2013,0810,양평
