
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 안산 (545)
, 기간 : 2011~2020년 06월 27일~07월 26일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
안산,545,06-27,      22.4,      28.1,      17.8,       8.0,,,,,,,       1.3
안산,545,06-28,      22.6,      28.1,      18.2,      10.6,,,,,,,       1.2
안산,545,06-29,      22.7,      28.0,      18.4,      11.9,,,,,,,       1.1
안산,545,06-30,      22.9,      28.1,      18.7,      14.1,,,,,,,       1.1
안산,545,07-01,      22.9,      27.9,      18.8,      17.8,,,,,,,       1.1
안산,545,07-02,      22.9,      27.9,      19.0,      16.1,,,,,,,       1.1
안산,545,07-03,      23.0,      28.1,      18.9,      15.8,,,,,,,       1.1
안산,545,07-04,      23.1,      28.5,      18.7,      16.7,,,,,,,       1.1
안산,545,07-05,      23.2,      28.6,      18.6,      16.3,,,,,,,       1.1
안산,545,07-06,      23.3,      28.7,      18.8,      14.0,,,,,,,       1.1
안산,545,07-07,      23.6,      29.0,      19.0,      13.4,,,,,,,       1.1
안산,545,07-08,      23.8,      29.0,      19.4,      12.4,,,,,,,       1.1
안산,545,07-09,      24.1,      29.0,      20.0,       8.4,,,,,,,       1.1
안산,545,07-10,      24.1,      28.8,      20.4,       9.0,,,,,,,       1.2
안산,545,07-11,      24.1,      28.6,      20.6,      11.4,,,,,,,       1.1
안산,545,07-12,      24.1,      28.4,      20.7,      11.7,,,,,,,       1.2
안산,545,07-13,      24.0,      28.3,      20.6,      11.9,,,,,,,       1.1
안산,545,07-14,      23.8,      28.2,      20.5,      13.0,,,,,,,       1.1
안산,545,07-15,      23.9,      28.4,      20.3,      10.9,,,,,,,       1.0
안산,545,07-16,      24.1,      28.8,      20.3,      10.2,,,,,,,       1.0
안산,545,07-17,      24.3,      29.2,      20.4,      10.8,,,,,,,       1.0
안산,545,07-18,      24.8,      29.7,      20.7,       8.5,,,,,,,       1.1
안산,545,07-19,      25.2,      30.2,      21.1,       6.5,,,,,,,       1.1
안산,545,07-20,      25.6,      30.6,      21.5,       7.7,,,,,,,       1.0
안산,545,07-21,      25.8,      30.4,      21.9,       8.4,,,,,,,       1.0
안산,545,07-22,      25.7,      30.0,      22.1,       9.0,,,,,,,       1.0
안산,545,07-23,      25.7,      30.0,      22.4,      10.0,,,,,,,       0.9
안산,545,07-24,      25.6,      29.9,      22.3,      13.1,,,,,,,       1.0
안산,545,07-25,      25.5,      29.8,      22.3,      12.9,,,,,,,       1.0
안산,545,07-26,      25.5,      29.7,      22.3,      12.7,,,,,,,       1.0

