
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 기간 : 2011~2020년 06월 27일~07월 26일
지점명,일시,최저기온(°C),평균기온(°C),최고기온(°C),강수량(mm),습도(%),일조시간(hr)
안산,06-27,      17.8,      22.4,      28.1,       8.0,,
안산,06-28,      18.2,      22.6,      28.1,      10.6,,
안산,06-29,      18.4,      22.7,      28.0,      11.9,,
안산,06-30,      18.7,      22.9,      28.1,      14.1,,
안산,07-01,      18.8,      22.9,      27.9,      17.8,,
안산,07-02,      19.0,      22.9,      27.9,      16.1,,
안산,07-03,      18.9,      23.0,      28.1,      15.8,,
안산,07-04,      18.7,      23.1,      28.5,      16.7,,
안산,07-05,      18.6,      23.2,      28.6,      16.3,,
안산,07-06,      18.8,      23.3,      28.7,      14.0,,
안산,07-07,      19.0,      23.6,      29.0,      13.4,,
안산,07-08,      19.4,      23.8,      29.0,      12.4,,
안산,07-09,      20.0,      24.1,      29.0,       8.4,,
안산,07-10,      20.4,      24.1,      28.8,       9.0,,
안산,07-11,      20.6,      24.1,      28.6,      11.4,,
안산,07-12,      20.7,      24.1,      28.4,      11.7,,
안산,07-13,      20.6,      24.0,      28.3,      11.9,,
안산,07-14,      20.5,      23.8,      28.2,      13.0,,
안산,07-15,      20.3,      23.9,      28.4,      10.9,,
안산,07-16,      20.3,      24.1,      28.8,      10.2,,
안산,07-17,      20.4,      24.3,      29.2,      10.8,,
안산,07-18,      20.7,      24.8,      29.7,       8.5,,
안산,07-19,      21.1,      25.2,      30.2,       6.5,,
안산,07-20,      21.5,      25.6,      30.6,       7.7,,
안산,07-21,      21.9,      25.8,      30.4,       8.4,,
안산,07-22,      22.1,      25.7,      30.0,       9.0,,
안산,07-23,      22.4,      25.7,      30.0,      10.0,,
안산,07-24,      22.3,      25.6,      29.9,      13.1,,
안산,07-25,      22.3,      25.5,      29.8,      12.9,,
안산,07-26,      22.3,      25.5,      29.7,      12.7,,

