
폭염일수
지점/지역명 : 서울경기

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.5,2.9,5.1,0,0,0,0,8.5
2013,0,0,0,0,0,0,0,6.7,0,0,0,0,6.7,8
2014,0,0,0,0,0.7,0,4.8,2,0,0,0,0,7.5,7
2015,0,0,0,0,0,0.7,3.2,4.3,0,0,0,0,8.2,6
2016,0,0,0,0,0,0,3.7,16.8,0,0,0,0,20.5,2
2017,0,0,0,0,0,1.2,3.2,4.5,0,0,0,0,8.8,5
2018,0,0,0,0,0,1.3,13.3,16.5,0,0,0,0,31.2,1
2019,0,0,0,0,0.3,0,4.2,9.7,0,0,0,0,14.2,4
2020,0,0,0,0,0,1.2,0.2,2.2,0,0,0,0,3.5,10
2021,0,0,0,0,0,0,12.5,2.5,0,0,0,0,15,3
2022,0,0,0,0,0,0.3,5.8,0.5,0,0,0,0,6.7,8
2023,0,0,0,0,0,0.8,1.5,0,0,0,0,0,2.3,11


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2013,수원,2013-08-11,2013-08-17,7
2014,서울·수원·이천,2014-07-30,2014-08-02,4
2015,수원·양평·이천,2015-08-05,2015-08-08,4
2016,수원·이천,2016-08-03,2016-08-25,23
2017,동두천·서울,2017-08-01,2017-08-07,7
2018,양평,2018-07-15,2018-08-16,33
2019,이천,2019-08-01,2019-08-11,11
2020,동두천·서울·수원·양평·이천,2020-08-25,2020-08-26,2
2021,이천,2021-07-21,2021-08-01,12
2022,서울,2022-07-26,2022-07-30,5
2023,동두천,2023-07-21,2023-07-22,2


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2013,동두천,2013-06-09,문산·파주,2013-08-25
2014,동두천·서울·수원·양평·이천,2014-05-31,강화·동두천·문산·백령도·서울·수원·양평·이천·인천·파주,2014-08-02
2015,동두천,2015-05-28,수원,2015-08-18
2016,동두천·수원·양평·이천,2016-07-08,수원·양평·이천,2016-08-25
2017,동두천,2017-06-16,동두천,2017-08-09
2018,양평·이천,2018-06-22,수원,2018-08-23
2019,서울·이천,2019-05-24,강화·동두천·문산·서울·수원·양평·이천·인천·파주,2019-08-14
2020,양평·이천,2020-06-09,이천,2020-08-28
2021,이천,2021-07-13,서울·수원·이천,2021-08-09
2022,양평·이천,2022-06-21,수원,2022-08-21
2023,동두천·서울·수원·양평·이천,2023-06-19,동두천,2023-07-22


