지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s)
545,안산,2016-07-01,23.7,21.4,27.1,1.8
545,안산,2016-07-02,23,20.5,26.9,2.3
545,안산,2016-07-03,22,19,26.1,.8
545,안산,2016-07-04,21.7,19.3,23,1.6
545,안산,2016-07-05,23.4,21.1,25.6,2.3
545,안산,2016-07-06,21.5,18.3,25.8,1.3
545,안산,2016-07-07,22.3,18.2,27,.7
545,안산,2016-07-08,24.4,18.3,31.1,1.5
545,안산,2016-07-09,24.7,19.5,30.7,1.8
545,안산,2016-07-10,24.8,19.7,30.9,1.4
545,안산,2016-07-11,25.3,20.7,32.3,1.3
545,안산,2016-07-12,24.3,20.3,29.2,1.5
545,안산,2016-07-13,24.1,20.5,28.1,1.9
545,안산,2016-07-14,25.1,22.4,29,2
545,안산,2016-07-15,24.7,21,27.7,1.4
545,안산,2016-07-16,20.9,19.8,22.6,2.3
545,안산,2016-07-17,21.3,20.1,23.8,2.2
545,안산,2016-07-18,22.6,19.4,27.3,1.3
545,안산,2016-07-19,25.1,17.9,31.7,1.1
545,안산,2016-07-20,27.4,21.6,31.9,1
545,안산,2016-07-21,26.6,23.5,30.7,1.4
545,안산,2016-07-22,28.1,23.3,32.8,1.5
545,안산,2016-07-23,28,25,31.7,1.3
545,안산,2016-07-24,27.7,25.1,31.5,1.3
545,안산,2016-07-25,27.1,23.8,31.1,1.3
545,안산,2016-07-26,26.4,22.6,32.1,1.2
545,안산,2016-07-27,26.7,23.1,29.7,1.7
545,안산,2016-07-28,26.5,24.1,30.2,1.7
545,안산,2016-07-29,25.4,23.4,28,.9
545,안산,2016-07-30,27.8,25.7,32,1.2
545,안산,2016-07-31,27.9,24.6,32.5,1.4
545,안산,2016-08-01,26.9,24.8,30.9,1.4
545,안산,2016-08-02,26.2,23.6,29.6,1.1
545,안산,2016-08-03,27.4,22.4,33.5,1.2
545,안산,2016-08-04,27.5,22.7,33.6,1.2
545,안산,2016-08-05,28.1,23.4,34.2,1.3
545,안산,2016-08-06,28,23.4,33.7,1.5
545,안산,2016-08-07,27.5,23.2,32.7,1.6
545,안산,2016-08-08,27.5,22.7,33.5,1.6
545,안산,2016-08-09,28.1,23.9,33.7,1.4
545,안산,2016-08-10,27.4,23.1,32.5,1.4
545,안산,2016-08-11,28.1,23.1,33.6,1.6
545,안산,2016-08-12,28,23.8,33,1.6
545,안산,2016-08-13,28.4,24.6,33.4,1.7
545,안산,2016-08-14,27.9,24.7,32.1,1.7
545,안산,2016-08-15,27.3,24.1,32.7,1.6
545,안산,2016-08-16,27.6,22.8,33.4,1.4
545,안산,2016-08-17,27.5,22.6,33.4,1.4
545,안산,2016-08-18,27.7,23.4,33.4,1
545,안산,2016-08-19,27.8,24.3,32.4,1
545,안산,2016-08-20,28.4,24.7,34,1.1
545,안산,2016-08-21,28.5,24.9,34.6,1.1
545,안산,2016-08-22,27.5,22.9,33.6,1.6
545,안산,2016-08-23,27.5,23.2,32.6,1.3
545,안산,2016-08-24,27.3,22.8,33.2,1.2
545,안산,2016-08-25,26.4,21.3,32.2,1.6
545,안산,2016-08-26,21.8,16.6,26.3,1.9
545,안산,2016-08-27,22.2,12.9,28.2,1.7
545,안산,2016-08-28,21,18.1,25.8,1.8
545,안산,2016-08-29,21.4,16.8,27.3,1.8
545,안산,2016-08-30,20.2,14,25.3,3
545,안산,2016-08-31,18.8,16.9,21.8,4.9
545,안산,2016-09-01,22.5,14.5,28.9,2.1
545,안산,2016-09-02,23.4,19.1,28.3,1.8
545,안산,2016-09-03,23.5,20.4,28.7,1.4
545,안산,2016-09-04,24.7,19.6,30,.8
545,안산,2016-09-05,24.3,19.5,29.3,1.3
545,안산,2016-09-06,22.7,17.7,28,1.1
545,안산,2016-09-07,22.6,18.2,27.6,1.2
545,안산,2016-09-08,21.8,19.2,26.8,.8
545,안산,2016-09-09,22.8,19,28.5,1.5
545,안산,2016-09-10,22.5,17.5,28.6,.8
545,안산,2016-09-11,22.8,19.6,28.1,.9
545,안산,2016-09-12,22.9,19,29.7,.7
545,안산,2016-09-13,23,17.8,29.4,1
