시도명,시군구명,읍면동,날짜,우량(mm),관리기관명
안산시,상록구,안산동,2013-07-04,0,경기도 안산시청
안산시,상록구,안산동,2013-07-05,2,경기도 안산시청
안산시,상록구,안산동,2013-07-06,0,경기도 안산시청
안산시,상록구,안산동,2013-07-07,9,경기도 안산시청
안산시,상록구,안산동,2013-07-08,48,경기도 안산시청
안산시,상록구,안산동,2013-07-09,1,경기도 안산시청
안산시,상록구,안산동,2013-07-10,4,경기도 안산시청
안산시,상록구,안산동,2013-07-11,1,경기도 안산시청
안산시,상록구,안산동,2013-07-12,45,경기도 안산시청
안산시,상록구,안산동,2013-07-13,88,경기도 안산시청
안산시,상록구,안산동,2013-07-14,13,경기도 안산시청
안산시,상록구,안산동,2013-07-15,17,경기도 안산시청
안산시,상록구,안산동,2013-07-16,0,경기도 안산시청
안산시,상록구,안산동,2013-07-17,23,경기도 안산시청
안산시,상록구,안산동,2013-07-18,16,경기도 안산시청
안산시,상록구,안산동,2013-07-19,0,경기도 안산시청
안산시,상록구,안산동,2013-07-20,0,경기도 안산시청
안산시,상록구,안산동,2013-07-21,0,경기도 안산시청
안산시,상록구,안산동,2013-07-22,56,경기도 안산시청
안산시,상록구,안산동,2013-07-23,56,경기도 안산시청
안산시,상록구,안산동,2013-07-24,7,경기도 안산시청
안산시,상록구,안산동,2013-07-25,0,경기도 안산시청
안산시,상록구,안산동,2013-07-26,0,경기도 안산시청
안산시,상록구,안산동,2013-07-27,0,경기도 안산시청
안산시,상록구,안산동,2013-07-28,13,경기도 안산시청
안산시,상록구,안산동,2013-07-29,1,경기도 안산시청
안산시,상록구,안산동,2013-07-30,3,경기도 안산시청
안산시,상록구,안산동,2013-07-31,10,경기도 안산시청
안산시,상록구,안산동,2013-08-01,0,경기도 안산시청
안산시,상록구,안산동,2013-08-02,0,경기도 안산시청
안산시,상록구,안산동,2013-08-03,0,경기도 안산시청
안산시,상록구,안산동,2013-08-04,0,경기도 안산시청
안산시,상록구,안산동,2013-08-05,22,경기도 안산시청
안산시,상록구,안산동,2013-08-06,49,경기도 안산시청
안산시,상록구,안산동,2013-08-07,0,경기도 안산시청
안산시,상록구,안산동,2013-08-08,0,경기도 안산시청
안산시,상록구,안산동,2013-08-09,1,경기도 안산시청
안산시,상록구,안산동,2013-08-10,30,경기도 안산시청
안산시,상록구,안산동,2013-08-11,0,경기도 안산시청
안산시,상록구,안산동,2013-08-12,0,경기도 안산시청
안산시,상록구,안산동,2013-08-13,0,경기도 안산시청
안산시,상록구,안산동,2013-08-14,0,경기도 안산시청
안산시,상록구,안산동,2013-08-15,0,경기도 안산시청
안산시,상록구,안산동,2013-08-16,0,경기도 안산시청
안산시,상록구,안산동,2013-08-17,0,경기도 안산시청
안산시,상록구,안산동,2013-08-18,0,경기도 안산시청
안산시,상록구,안산동,2013-08-19,0,경기도 안산시청
안산시,상록구,안산동,2013-08-20,0,경기도 안산시청
안산시,상록구,안산동,2013-08-21,0,경기도 안산시청
안산시,상록구,안산동,2013-08-22,0,경기도 안산시청
