순별 기후평년값(1991-2020),,,,,,,,,,,,,,,,,
10-DAY NORMALS,,,,,,,,,,,,,,,,,
지점번호,지점명,월,날짜,"기압(hPa)
Temperature",,"기온(℃)
Temperature",,,,"상대습도(%)
Relative Humidity","증기압(hPa)
Vapour Pressure",,"평균풍속
(m/s)","운량
(1/10)","강수량
(mm)","증발량
(mm)","일조시간
(hr)"
,,,,해면기압,해면기압 표준편차,평균기온,평균기온 표준편차,최고기온,최저기온,,평균증기압,평균증기압 표준편차,,,,,
90,속초,1,상순,1021.1 ,2.8 ,0.7 ,2.3 ,4.8 ,-3.3 ,45.4 ,3.2 ,1.0 ,2.7 ,,11.1 ,,62.1 
90,속초,1,중순,1022.4 ,2.4 ,0.0 ,1.9 ,4.1 ,-3.8 ,51.5 ,3.5 ,0.9 ,2.4 ,,18.8 ,,57.2 
90,속초,1,하순,1021.7 ,3.2 ,-0.2 ,2.3 ,3.8 ,-4.2 ,50.0 ,3.4 ,0.9 ,2.6 ,,13.6 ,,66.1 
90,속초,2,상순,1020.6 ,2.3 ,0.6 ,2.0 ,4.8 ,-3.5 ,49.6 ,3.5 ,0.9 ,2.6 ,,12.1 ,,63.5 
90,속초,2,중순,1020.7 ,3.2 ,2.0 ,1.7 ,5.9 ,-2.1 ,52.9 ,3.9 ,1.0 ,2.6 ,,19.4 ,,63.3 
90,속초,2,하순,1020.9 ,3.1 ,3.3 ,2.3 ,7.6 ,-0.9 ,58.0 ,4.6 ,1.1 ,2.5 ,,14.3 ,,50.1 
90,속초,3,상순,1018.8 ,2.8 ,4.3 ,1.8 ,8.4 ,0.2 ,59.0 ,4.9 ,1.0 ,2.6 ,,20.5 ,,60.1 
90,속초,3,중순,1017.8 ,3.6 ,6.4 ,2.1 ,10.8 ,1.7 ,56.6 ,5.4 ,1.0 ,2.8 ,,14.2 ,,63.0 
90,속초,3,하순,1016.7 ,3.4 ,7.9 ,2.2 ,12.4 ,3.4 ,58.5 ,6.1 ,1.1 ,2.7 ,,17.5 ,,71.9 
90,속초,4,상순,1015.5 ,2.4 ,10.0 ,1.6 ,14.5 ,5.4 ,59.4 ,7.1 ,1.3 ,2.8 ,,22.4 ,,69.2 
90,속초,4,중순,1013.2 ,2.8 ,11.7 ,1.9 ,16.3 ,7.3 ,62.5 ,8.3 ,1.5 ,2.8 ,,21.5 ,,67.8 
90,속초,4,하순,1012.1 ,3.1 ,13.9 ,1.8 ,18.7 ,9.2 ,59.7 ,9.1 ,1.6 ,2.8 ,,29.3 ,,74.9 
90,속초,5,상순,1011.2 ,2.9 ,14.9 ,2.0 ,19.7 ,10.6 ,67.4 ,10.9 ,1.2 ,2.6 ,,28.0 ,,66.2 
90,속초,5,중순,1010.0 ,3.0 ,16.2 ,2.0 ,20.7 ,12.0 ,68.5 ,12.0 ,1.5 ,2.6 ,,33.9 ,,71.6 
90,속초,5,하순,1009.2 ,2.6 ,17.7 ,2.3 ,22.3 ,13.6 ,69.9 ,13.6 ,1.2 ,2.3 ,,26.6 ,,78.4 
90,속초,6,상순,1008.9 ,2.6 ,18.7 ,1.7 ,22.8 ,15.1 ,75.3 ,15.9 ,1.4 ,2.1 ,,23.5 ,,65.6 
90,속초,6,중순,1007.4 ,2.4 ,19.5 ,1.5 ,23.2 ,16.3 ,79.7 ,17.8 ,1.3 ,2.0 ,,33.8 ,,56.7 
90,속초,6,하순,1006.2 ,2.4 ,21.0 ,1.7 ,24.5 ,18.0 ,81.2 ,20.0 ,1.9 ,2.0 ,,62.2 ,,50.1 
90,속초,7,상순,1005.9 ,2.5 ,22.1 ,2.0 ,25.4 ,19.3 ,83.6 ,22.1 ,1.9 ,1.9 ,,92.9 ,,48.8 
90,속초,7,중순,1006.5 ,2.1 ,23.2 ,2.4 ,26.5 ,20.4 ,81.9 ,23.0 ,2.0 ,2.0 ,,87.3 ,,45.5 
90,속초,7,하순,1006.7 ,2.6 ,24.9 ,2.5 ,28.2 ,22.1 ,81.1 ,25.2 ,2.6 ,1.9 ,,85.4 ,,52.0 
90,속초,8,상순,1007.6 ,2.4 ,24.9 ,2.1 ,28.3 ,22.2 ,83.9 ,26.3 ,2.5 ,1.7 ,,101.1 ,,48.1 
90,속초,8,중순,1008.4 ,2.6 ,24.4 ,2.1 ,27.7 ,21.5 ,82.7 ,25.2 ,2.3 ,1.8 ,,93.7 ,,50.0 
90,속초,8,하순,1009.6 ,2.2 ,23.1 ,1.3 ,26.6 ,20.0 ,80.5 ,22.7 ,2.1 ,1.9 ,,103.2 ,,54.3 
90,속초,9,상순,1011.1 ,2.6 ,21.7 ,1.2 ,25.4 ,18.3 ,79.6 ,20.7 ,2.1 ,2.0 ,,77.1 ,,55.0 
90,속초,9,중순,1014.0 ,2.2 ,20.1 ,1.3 ,24.0 ,16.6 ,78.2 ,18.5 ,2.1 ,2.1 ,,79.2 ,,53.2 
90,속초,9,하순,1016.5 ,1.9 ,18.3 ,1.0 ,22.5 ,14.5 ,75.5 ,16.0 ,1.6 ,2.0 ,,44.3 ,,58.6 
90,속초,10,상순,1016.9 ,1.9 ,17.0 ,1.0 ,21.2 ,12.9 ,70.6 ,13.7 ,1.9 ,2.1 ,,33.1 ,,59.2 
90,속초,10,중순,1018.5 ,2.9 ,15.3 ,1.2 ,19.8 ,11.0 ,64.7 ,11.3 ,1.6 ,2.2 ,,31.8 ,,60.7 
90,속초,10,하순,1019.1 ,2.3 ,13.1 ,1.7 ,17.7 ,8.7 ,61.9 ,9.6 ,1.7 ,2.3 ,,23.0 ,,69.9 
90,속초,11,상순,1019.8 ,2.8 ,11.6 ,1.7 ,16.0 ,7.3 ,58.5 ,8.2 ,1.8 ,2.4 ,,35.1 ,,57.8 
90,속초,11,중순,1020.5 ,2.8 ,8.4 ,2.0 ,12.6 ,4.3 ,54.6 ,6.5 ,2.1 ,2.5 ,,26.9 ,,57.3 
