월별평년값,,,,,,,,,,,,,
MONTHLY NORMALS,,,,,,,,,,,,,
* 목차로 돌아가기,,,,,,,,,,,,,
일최고기온 Daily Maximum Temperature(℃),,,,,,,,,,,,,
지점번호,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
90,속초,4.2 ,6.0 ,10.6 ,16.5 ,20.9 ,23.5 ,26.7 ,27.5 ,24.0 ,19.5 ,13.1 ,6.6 
95,철원,0.7 ,4.1 ,10.2 ,17.5 ,22.9 ,26.7 ,28.1 ,28.9 ,25.0 ,19.1 ,10.5 ,2.7 
98,동두천,2.4 ,5.8 ,12.1 ,19.0 ,24.5 ,28.2 ,29.0 ,30.1 ,26.3 ,20.5 ,12.2 ,3.9 
99,파주,1.8 ,5.2 ,11.2 ,17.9 ,23.8 ,27.5 ,28.8 ,29.9 ,26.1 ,20.3 ,11.6 ,3.2 
100,대관령,-1.8 ,0.6 ,5.5 ,12.9 ,18.4 ,21.3 ,23.4 ,23.6 ,19.4 ,14.6 ,7.5 ,0.5 
101,춘천,1.9 ,5.4 ,11.6 ,18.9 ,24.3 ,28.1 ,29.3 ,29.9 ,25.6 ,19.6 ,11.2 ,3.5 
102,백령도,1.2 ,2.8 ,7.1 ,13.0 ,18.7 ,22.9 ,25.4 ,26.9 ,23.5 ,17.7 ,10.6 ,3.8 
105,강릉,5.3 ,7.1 ,11.7 ,17.9 ,22.7 ,25.4 ,28.1 ,28.6 ,24.6 ,20.3 ,14.0 ,7.7 
106,동해,5.4 ,7.0 ,11.2 ,16.7 ,21.1 ,23.4 ,26.6 ,27.6 ,23.8 ,19.7 ,13.7 ,7.7 
108,서울,2.1 ,5.1 ,11.0 ,17.9 ,23.6 ,27.6 ,29.0 ,30.0 ,26.2 ,20.2 ,11.9 ,4.2 
112,인천,2.2 ,4.8 ,10.1 ,16.2 ,21.6 ,25.6 ,27.8 ,29.2 ,25.8 ,19.9 ,12.0 ,4.5 
114,원주,2.4 ,5.6 ,11.8 ,19.1 ,24.4 ,28.1 ,29.7 ,30.3 ,25.9 ,20.0 ,12.0 ,4.3 
115,울릉도,4.4 ,5.6 ,9.6 ,15.1 ,19.7 ,22.5 ,25.5 ,26.9 ,23.2 ,18.8 ,13.2 ,7.2 
119,수원,2.8 ,5.6 ,11.3 ,18.2 ,23.6 ,27.5 ,29.3 ,30.3 ,26.4 ,20.4 ,12.5 ,4.9 
121,영월,2.5 ,5.8 ,11.8 ,18.8 ,24.4 ,28.1 ,29.2 ,29.9 ,25.5 ,20.0 ,11.9 ,4.2 
127,충주,2.5 ,5.8 ,11.9 ,19.2 ,24.5 ,28.0 ,29.7 ,30.3 ,26.0 ,20.2 ,12.3 ,4.5 
129,서산,3.3 ,5.6 ,10.8 ,17.3 ,22.5 ,26.4 ,28.5 ,29.7 ,26.1 ,20.5 ,13.0 ,5.7 
130,울진,6.5 ,7.9 ,11.8 ,17.2 ,21.1 ,23.3 ,26.8 ,27.5 ,24.1 ,20.1 ,14.5 ,8.9 
131,청주,3.4 ,6.4 ,12.5 ,19.6 ,24.8 ,28.2 ,30.0 ,30.6 ,26.4 ,20.7 ,13.0 ,5.4 
133,대전,4.1 ,7.0 ,12.7 ,19.4 ,24.5 ,27.9 ,29.6 ,30.3 ,26.3 ,20.8 ,13.5 ,6.2 
135,추풍령,2.9 ,5.9 ,11.8 ,18.7 ,23.7 ,26.8 ,28.7 ,29.1 ,25.0 ,19.7 ,12.5 ,5.1 
136,안동,4.0 ,7.0 ,12.6 ,19.5 ,24.7 ,27.9 ,29.5 ,30.1 ,25.8 ,20.5 ,13.0 ,5.9 
137,상주,3.9 ,7.1 ,13.2 ,19.6 ,25.3 ,28.5 ,29.5 ,30.4 ,25.9 ,20.8 ,13.1 ,5.4 
138,포항,6.7 ,9.0 ,13.3 ,19.1 ,23.5 ,25.8 ,29.0 ,29.5 ,25.5 ,21.4 ,15.4 ,8.9 
140,군산,4.0 ,6.0 ,10.8 ,16.9 ,22.3 ,26.1 ,28.8 ,29.9 ,26.0 ,20.5 ,13.4 ,6.4 
152,울산,7.4 ,9.6 ,13.7 ,19.3 ,23.7 ,26.1 ,29.2 ,30.0 ,26.0 ,21.8 ,15.9 ,9.6 
155,창원,7.1 ,9.4 ,13.8 ,19.1 ,23.7 ,26.1 ,29.0 ,30.4 ,26.9 ,22.2 ,15.6 ,9.2 
156,광주,5.7 ,8.3 ,13.6 ,19.9 ,24.8 ,27.9 ,30.0 ,30.9 ,27.1 ,21.9 ,15.0 ,8.0 
159,부산,8.2 ,10.2 ,13.8 ,18.2 ,22.0 ,24.6 ,27.5 ,29.5 ,26.4 ,22.5 ,16.6 ,10.4 
162,통영,7.9 ,9.6 ,13.3 ,17.9 ,22.1 ,24.8 ,27.6 ,29.6 ,26.7 ,22.3 ,16.2 ,10.2 
