일자,개문시작시각,폐문종료시각,방류량(천톤)
2018-04-02,22:30,02:22,917.295 
2018-04-04,12:00,23:09,747.897 
2018-05-14,20:10,00:10,634.439 
2018-05-16,21:13,01:22,917.295 
2018-05-18,22:32,02:44,917.295 
2018-06-27,20:11,00:14,778.528 
2018-06-28,20:53,00:21,747.897 
2018-07-01,22:40,02:12,609.130 
2018-07-02,23:16,02:42,485.105 
2018-07-03,00:10,03:02,811.141 
2018-07-11,19:00,23:15,1093.997 
2018-07-12,20:18,22:33,465.041 
2018-11-04,19:57,23:25,747.897 
2018-12-05,19:57,23:25,844.929 
2018-12-06,20:40,00:11,811.141 
2019-08-19,23:00,02:48,844.929 
2019-09-03,23:41,03:36,778.528 
2019-09-04,00:40,03:43,609.130 
2019-09-16,22:00,02:08,1033.420 
2019-09-17,22:44,02:27,811.141 
2019-09-30,22:04,02:02,778.528 
2020-07-07,10:48,14:02,381.277 
2020-07-08,11:31,14:33,381.277 
2020-07-22,10:29,13:34,717.709 
2020-07-23,11:11,14:15,717.709 
2020-07-24,11:29,15:10,910.499 
2020-08-03,14:31,17:24,978.669 
2020-08-04,15:29,17:45,776.998 
2020-08-05,18:25,21:20,760.799 
2020-08-06,11:45,14:30,395.721 
2020-08-06,22:18,02:43,776.998 
2020-08-07,11:39,14:54,760.799 
2020-08-07,23:19,02:40,381.277 
2020-08-08,11:02,12:57,910.499 
2020-08-16,18:22,22:35,800.841 
2020-08-17,19:08,23:21,800.841 
2020-08-18,08:58,12:08,790.182 
2020-08-19,09:06,13:05,960.120 
2020-08-20,10:47,13:49,389.190 
2020-08-21,10:35,14:24,564.399 
2020-08-25,00:58,03:42,741.102 
2020-08-25,13:10,16:40,690.421 
2020-09-02,21:10,01:09,1226.210 
2020-09-03,10:01,13:33,1071.700 
2020-09-03,21:45,01:38,1033.420 
2020-09-06,23:15,02:47,878.908 
2020-09-07,11:31,14:56,878.908 
2020-09-08,11:56,15:21,878.908 
2021-03-15,10:04,13:14,937.502 
2021-03-16,10:32,14:40,1226.210 
2021-03-17,11:00,14:54,1182.750 
2021-03-29,09:02,12:14,690.421 
2021-03-30,09:41,13:03,811.141 
2021-04-13,09:31,13:27,994.263 
2021-04-14,10:25,13:38,955.230 
2021-06-09,08:38,11:42,548.312 
2021-06-10,09:16,12:17,359.825 
2021-06-11,09:53,12:49,346.100 
2021-06-14,11:40,12:53,176.703 
2021-07-08,21:47,23:17,507.299 
2021-08-24,10:29,14:20,507.299 
2021-09-09,10:28,14:25,548.312 
2021-09-10,10:51,14:51,507.299 
2021-09-13,12:48,16:15,661.807 
2021-09-24,10:36,14:16,634.439 
2022-04-19,22:16,02:31,1138.350 
2022-06-30,10:13,13:09,548.312 
2022-07-01,10:46,13:30,690.420 
2022-07-01,22:15,01:57,507.299 
2022-07-05,00:00,03:14,955.230 
2022-07-13,20:01,00:23,1138.350 
2022-07-14,09:54,12:47,811.141 
2022-07-14,20:52,01:13,1049.370 
2022-08-01,23:03,02:50,994.263 
2022-08-02,23:31,03:20,1033.420 
2022-08-04,12:45,16:19,1226.210 
2022-08-08,16:42,19:48,878.908 
2022-08-09,06:46,09:00,400.992 
2022-08-09,17:34,22:08,1387.130 
2022-08-10,07:20,11:01,1404.990 
2022-08-10,18:39,23:25,1746.950 
2022-08-11,08:20,12:17,1570.250 
2022-08-11,19:49,00:29,1711.340 
2022-08-12,09:05,13:07,1507.890 
2022-08-12,20:43,01:25,1771.260 
2022-08-14,22:10,02:43,1571.940 
2022-08-15,11:17,14:53,1182.750 
2022-08-15,23:13,03:12,1138.350 
2022-08-16,11:49,15:32,1094.000 
2022-08-17,12:22,15:45,917.295 
2022-08-30,10:40,14:23,1049.370 
2022-08-31,11:14,14:40,879.969 
2022-09-06,16:33,19:21,717.709 
2022-09-07,18:20,21:37,1033.420 
2022-09-08,07:47,10:32,844.929 
2022-09-08,19:35,23:13,1094.000 
2022-09-13,10:36,14:31,1226.070 
2022-09-14,11:09,14:46,879.969 
2022-09-15,11:50,15:01,688.268 
